,1
Ajor,2127.649144
Separ,2117.387927
Parde,2099.009102
Other_Negahdari,2073.897186
Enrollment_pish_NG,2063.923458
Sanad_Ezdevaj,2047.163322
Visit_Jarahi_NG,1961.186617
Tadfin,1945.954837
Education_Other,1887.513477
KelasKonkoor,1873.305268
Anvae_Miz,1824.659274
Ojrat_Tamir_TV,1798.475648
Dalali_Maskan,1786.450751
Avarez_Shahrdari,1776.080271
Sofre_Aghd,1708.293422
Zokat,1663.832044
Parande_Mahi,1598.491735
Other_Khanegi,1552.749752
Hazine_TamirMobleman,1507.13458
Tamirat_Detail,1490.30655
Naghashi_NoMasaleh,1488.677314
Dalali_Mashin,1484.984058
PC,1482.034746
Travel_Tafrihi_Iran,1332.255256
Tamirat_Shirvani,1258.537814
Rent_Lebas,1248.033601
Gardanband_Silver,1235.787955
Weight,1196.800523
Kaghaz_Divari,1180.712662
Panke,1169.18296
Enrollment_Rahnamayi_Shabane,1158.599155
Rang,1119.286606
Other_Masaleh,1037.402746
Bycycle,1023.548002
Enrollment_pish_G,1023.398408
Taghviati_Dabirestan,983.9668542
Kah_Gel,941.5923182
Enrollment_Dabirestan_Shabane,920.1111356
Other_Barghi,918.2392875
Travel_Khareji,885.6181157
Zendan,868.9076524
Zoodpaz,837.889634
Samavar_Gaz,814.7583099
Secharkhe,797.1364714
Tamir_Other_Soti,784.7680819
Motor_Machin,758.1481393
Akhz_Govahiname,753.4976709
Lebas_Aroos,753.1311645
Taghviati_Rahnamayi,744.6716004
Taviz_Pelak,734.9968693
Otoo,671.0383525
Kafsh_Varzeshi,657.94443
Sekke_Prize,651.1701045
Visit_NG,644.982074
Ayne,641.4200967
Taghviati_Dabestan,637.9185326
Tamir_Narde,627.9158445
Cheragh_Mashin,600.2658101
KhorakPaz,561.8234976
Radiator_Mashin,548.8189483
Ziloo,513.5589693
Chador_Mashin,475.3443088
Tamir_Chah,474.2357758
Cash_Prize_G,436.1455856
Other_Hoghooghi,435.371914
Zinatalat_Mashin,424.35908
Visit_Jarahi_G,415.6895083
Ojrat_Tamir_PC,414.4417374
Lavazem_Behdashti,411.5626203
Samavar,403.0322865
Shishe,395.2724598
Artificial_Flower,388.6079327
Education_Quran,386.0916779
Saat_Mochi,384.0472209
Software,376.5843775
Asar_Honari,368.6528049
Maliat_Maskan,363.7388201
Daftarche_Bime,352.5855277
Ertegha_System,352.5710217
Cheragh_Electricy,341.8606369
Game_Equip,339.5501704
Barband,338.5747381
Khadamat_Motefarehje,335.2227683
Tablighat_GheyreShoghli,334.8839753
Tahvie,332.1114922
Tofang,324.0404899
Doganesooz,301.540531
Mahvare,294.940924
Lavazem_Sofre_Aghd,262.2121592
Anten,254.3275746
Toor,227.8753504
Saat_Divari,227.4995424
Telephone_Sabet,222.7013974
BankServices,219.9534631
Varzeshi_Other,210.900316
Generator,210.023079
Gahvare,206.5793388
BallSport,191.8304802
Helptipish,182.2961377
TamiratAbzar,170.9998415
Patoo_Barghi,167.2034038
Taghviati_pish,155.3576358
Cash_Prize_NG,150.0105944
Sanaye_Dasti,142.6058626
Azmoon_Estekhdami,141.940551
Visit_G,132.552159
Doorbin_Digital,129.2217654
Bycycle_Repair,125.7137763
Gardanband_Badal,123.5695897
Tiner,121.8099375
Premium_Other2,109.2518699
Sandoogh,107.7578436
hazine_Ejare,107.0639557
Dastkesh_Sport,103.9502822
Modem,102.3925824
Other_Tajhozat_PC,101.3448461
Taghviati_Uni,94.90614907
KiseKhab,91.39835182
Premium_manzel,88.1243438
Lavazem_Safar,87.42451044
Chamanzani,81.33333272
Nasb_Shishe,80.1678388
LavazemRepair4,78.26434576
Video_Player,75.77551663
Ghatayat_PC,61.34521742
Tolombe,60.95780624
Paltopoost,59.19240036
Premium_asas_manzel,58.41022931
Mask,55.41207278
Aquarium,51.89967263
Dozdgir,51.23704608
Premium_Bar,48.86750891
Repair_Varzeshi,44.53310662
Zibai_Jarahi_NG,43.59334684
CilandreGaz,37.23615956
Karyabi,34.59121523
Samavar_Nafti,33.02200818
Keraye_Mashin,32.39141018
Tjhizat_Soti,32.2725018
Printer,30.40794167
Daroo_Heyvanat,27.8868922
Enrollment_pish_Shabane,26.4667042
Eski,26.01024944
Musc_Instrument,24.62554216
Book_Mazhabi,24.4408506
Fax,23.76249746
Dalali_Simcard,21.78516616
Ghalam_Moo,21.78085093
Talebini,21.64569813
Education_Fanni,21.08514101
Calculator,20.68372933
Hedphone,20.13195608
Saat_Repait,17.93195924
Machine_bafandei,16.39784934
Instrument_Doorbin,15.39096385
TV_SS,15.07451413
Ojagh_Pikniki,14.94026273
Software_Game,14.34236454
Koleksion,13.17581578
Artificial_Tree,12.52412114
Capsule_O2,11.67987163
Zabtesot,8.45783808
Zibai_Jarahi_G,8.227692826
Gire_Kraat,7.475884997
Ghatayat_TV,6.084465149
Ghafas,6.014462635
Lavazem_TamirMobleman,5.074702848
Biliard,4.510846976
Daroltarjome,3.563415681
Kolah_Imeni,3.059013999
Mahigiri,1.731843035
Shamshirbazi,1.12387599
Parvane_Shekar,1.006885486
MavadTamir2,0.989624592
Durable_for_Amusement,0.89756649
Abzar_Barghi,0.678928499
Software_PC,0.443029614
Tolombe_Bad,0.270420673
MavadTamir1,0
HazineNasb,0
Kafpoosh_Nasb,0
Keraye_Zoroof,0
Keraye_Mobleman,0
Private_Nurse2,0
Tarh_Traffic,0
Repair_Doorbin,0
Repair_Durable_Amusement,0
Dampezeshk_Visit,0
Repair_Game_Equip,0
Other_Amusement,0
Kolah_Sport,0
Book_Reference,0
Enrollment_SavadAmoozi,0
Jabejai_Daneshjoo,0
Education_Ashbazi,0
MoshavereServices,0
